@timestamp,method,req_path,domain,rsp_code,rsp_code_details,src_ip,total_duration_seconds,rsp_size,country,response_flags
2026-03-14T16:57:10.599Z,GET,/english/desktopmodules/Adv.Modules.QG.News.API.Services/API/News/GetArticles,www.qatarenergylng.qa,0,downstream_remote_disconnect,4.170.17.149,,0,QA,"{""DownstreamConnectionTermination"":""true""}"
2026-03-14T16:56:13.783Z,GET,/english/MediaCenter/pageindex987/23/Qatargas-4-receives-Shell-Reliable-Asset-Award,www.qatarenergylng.qa,200,via_upstream,114.119.143.152,,177338,SG,
2026-03-14T16:56:02.109Z,GET,/_layouts/15/NewCo/Images/logo.png,www.qatarenergylng.qa,404,via_upstream,45.87.225.250,,1427,QA,
2026-03-14T16:55:16.458Z,GET,/english/,www.qatarenergylng.qa,200,via_upstream,5.134.119.46,,110928,ES,
2026-03-14T16:55:15.364Z,GET,/,www.qatarenergylng.qa,301,via_upstream,5.134.119.46,,1780,ES,
2026-03-14T16:55:06.940Z,GET,/english,www.qatarenergylng.qa,200,via_upstream,80.76.167.222,,111563,QA,
2026-03-14T16:55:05.965Z,GET,/english,www.qatarenergylng.qa,200,via_upstream,212.77.203.83,,111518,QA,
2026-03-14T16:54:38.070Z,GET,/english/MediaCenter/pageindex987/23/Qatargas-delivers-commissioning-LNG-cargo-to-ThailandÃ¢Â€Â™s-LMPT2-Map-ta-Phut-LNG-Terminal,www.qatarenergylng.qa,200,via_upstream,114.119.156.56,,178004,SG,
2026-03-14T16:54:16.093Z,GET,/,www.qatarenergylng.qa,301,via_upstream,213.219.39.144,,1781,GB,
2026-03-14T16:54:14.004Z,GET,/english/,www.qatarenergylng.qa,200,via_upstream,213.219.39.144,,110967,GB,
2026-03-14T16:54:13.133Z,GET,/,qatarenergylng.qa,301,via_upstream,213.219.39.144,,387,GB,
2026-03-14T21:01:35.948Z,GET,/english/MediaCenter/pageindex987/63/QatargasÃƒÂƒÃ‚Â¢ÃƒÂ‚Ã¢Â‚Â¬ÃƒÂ‚Ã¢Â„Â¢-Covid19-Taskforce-recognised-for-outstanding-performance-during-pandemic,www.qatarenergylng.qa,200,via_upstream,51.195.215.24,,165254,GB,
